Amount,Payment_Method,Bank,Previous_Failures,Attempt_Number,Error,Original_Status,Risk_Percentage,Risk_Level,Recovery_Action
16991,UPI,Bank_C,1,2,NONE,SUCCESS,43.93,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11171,CARD,Bank_A,1,2,NONE,SUCCESS,38.05,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12602,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,17.9,LOW,Continue payment normally.
7626,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,14.35,LOW,Continue payment normally.
8579,UPI,Bank_A,0,1,NONE,SUCCESS,13.75,LOW,Continue payment normally.
5927,UPI,Bank_B,0,1,NONE,SUCCESS,11.37,LOW,Continue payment normally.
10616,UPI,Bank_A,0,1,NETWORK_ERROR,SUCCESS,36.0,MEDIUM,Retry after a short delay or use another payment method.
17163,NET_BANKING,Bank_A,0,1,NONE,FAILED,19.87,LOW,Continue payment normally.
3022,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,18.26,LOW,Continue payment normally.
18358,UPI,Bank_B,2,3,BANK_ERROR,SUCCESS,86.24,HIGH,Try another bank or payment method.
18868,CARD,Bank_A,0,1,CARD_DECLINED,SUCCESS,43.3,MEDIUM,Try UPI or Net Banking instead of the card.
6643,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,16.91,LOW,Continue payment normally.
19433,UPI,Bank_D,0,1,NONE,FAILED,20.43,LOW,Continue payment normally.
9788,UPI,Bank_A,0,1,NONE,FAILED,13.92,LOW,Continue payment normally.
8212,CARD,Bank_B,0,1,NONE,SUCCESS,14.14,LOW,Continue payment normally.
6239,CARD,Bank_A,1,2,NONE,SUCCESS,33.13,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1924,CARD,Bank_A,0,1,NONE,SUCCESS,13.57,LOW,Continue payment normally.
680,CARD,Bank_D,0,1,NONE,SUCCESS,18.0,LOW,Continue payment normally.
10188,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,26.23,LOW,Continue payment normally.
13472,UPI,Bank_A,0,1,NONE,FAILED,16.7,LOW,Continue payment normally.
19222,UPI,Bank_D,1,2,AUTH_ERROR,FAILED,80.21,HIGH,Complete authentication and retry the payment.
19929,UPI,Bank_A,1,2,NONE,SUCCESS,29.47,LOW,Continue payment normally.
2767,CARD,Bank_B,0,1,AUTH_ERROR,SUCCESS,46.47,MEDIUM,Complete authentication and retry the payment.
8866,CARD,Bank_C,1,2,CARD_DECLINED,FAILED,79.0,HIGH,Try UPI or Net Banking instead of the card.
3474,UPI,Bank_A,1,2,NONE,FAILED,36.61,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
10452,UPI,Bank_C,0,1,NONE,SUCCESS,20.74,LOW,Continue payment normally.
8208,UPI,Bank_A,1,2,NONE,SUCCESS,29.87,LOW,Continue payment normally.
275,CARD,Bank_A,0,1,NONE,FAILED,12.48,LOW,Continue payment normally.
16848,CARD,Bank_C,3,4,AUTH_ERROR,FAILED,98.18,HIGH,Complete authentication and retry the payment.
7956,UPI,Bank_B,0,1,NONE,SUCCESS,14.87,LOW,Continue payment normally.
6097,UPI,Bank_B,1,2,NETWORK_ERROR,SUCCESS,67.01,MEDIUM,Retry after a short delay or use another payment method.
2940,UPI,Bank_A,3,4,NONE,FAILED,80.29,HIGH,"Continue payment, but offer an alternate payment method if it fails."
19046,UPI,Bank_A,0,1,NONE,SUCCESS,17.4,LOW,Continue payment normally.
11271,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,25.89,LOW,Continue payment normally.
6088,UPI,Bank_C,1,2,NONE,SUCCESS,41.95,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
19090,UPI,Bank_D,0,1,AUTH_ERROR,SUCCESS,47.34,MEDIUM,Complete authentication and retry the payment.
9469,CARD,Bank_A,2,3,CARD_DECLINED,FAILED,87.76,HIGH,Try UPI or Net Banking instead of the card.
10216,UPI,Bank_D,0,1,NONE,SUCCESS,14.81,LOW,Continue payment normally.
15922,UPI,Bank_C,1,2,NONE,FAILED,49.45,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15620,UPI,Bank_B,0,1,NONE,SUCCESS,15.2,LOW,Continue payment normally.
19724,NET_BANKING,Bank_D,0,1,NETWORK_ERROR,FAILED,57.14,MEDIUM,Retry after a short delay or use another payment method.
3172,UPI,Bank_B,0,1,NETWORK_ERROR,SUCCESS,38.86,MEDIUM,Retry after a short delay or use another payment method.
9969,UPI,Bank_B,1,2,NONE,SUCCESS,29.38,LOW,Continue payment normally.
9978,UPI,Bank_A,0,1,NONE,SUCCESS,14.5,LOW,Continue payment normally.
2009,CARD,Bank_A,0,1,CARD_DECLINED,FAILED,46.56,MEDIUM,Try UPI or Net Banking instead of the card.
504,CARD,Bank_C,1,2,CARD_DECLINED,FAILED,77.6,HIGH,Try UPI or Net Banking instead of the card.
3445,NET_BANKING,Bank_D,1,2,BANK_ERROR,FAILED,75.47,HIGH,Try another bank or payment method.
19793,CARD,Bank_A,0,1,NONE,SUCCESS,18.03,LOW,Continue payment normally.
15032,CARD,Bank_B,0,1,NONE,SUCCESS,18.43,LOW,Continue payment normally.
2865,CARD,Bank_B,0,1,NONE,FAILED,19.1,LOW,Continue payment normally.
15792,NET_BANKING,Bank_D,1,2,NONE,SUCCESS,48.15,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5025,UPI,Bank_A,0,1,NONE,SUCCESS,14.97,LOW,Continue payment normally.
16064,NET_BANKING,Bank_C,0,1,NETWORK_ERROR,SUCCESS,51.77,MEDIUM,Retry after a short delay or use another payment method.
15780,CARD,Bank_D,1,2,CARD_DECLINED,FAILED,71.51,HIGH,Try UPI or Net Banking instead of the card.
2123,UPI,Bank_A,0,1,NONE,SUCCESS,11.51,LOW,Continue payment normally.
11682,CARD,Bank_B,0,1,NONE,SUCCESS,18.29,LOW,Continue payment normally.
9165,NET_BANKING,Bank_B,2,3,NONE,SUCCESS,66.7,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
9512,CARD,Bank_D,0,1,NETWORK_ERROR,SUCCESS,47.62,MEDIUM,Retry after a short delay or use another payment method.
19503,UPI,Bank_C,1,2,BANK_ERROR,SUCCESS,78.31,HIGH,Try another bank or payment method.
11167,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,44.78,MEDIUM,Try another bank or payment method.
12067,UPI,Bank_D,0,1,NONE,SUCCESS,16.97,LOW,Continue payment normally.
12480,CARD,Bank_A,0,1,NONE,SUCCESS,19.82,LOW,Continue payment normally.
8430,UPI,Bank_D,0,1,AUTH_ERROR,FAILED,51.24,MEDIUM,Complete authentication and retry the payment.
13703,UPI,Bank_A,0,1,NONE,FAILED,13.16,LOW,Continue payment normally.
12365,UPI,Bank_A,0,1,NETWORK_ERROR,SUCCESS,41.74,MEDIUM,Retry after a short delay or use another payment method.
4751,UPI,Bank_C,0,1,NONE,FAILED,22.01,LOW,Continue payment normally.
4186,CARD,Bank_A,1,2,NONE,FAILED,32.22,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
14937,UPI,Bank_A,0,1,NONE,SUCCESS,11.3,LOW,Continue payment normally.
15168,UPI,Bank_B,1,2,BANK_ERROR,SUCCESS,70.84,HIGH,Try another bank or payment method.
17374,CARD,Bank_C,0,1,NONE,SUCCESS,22.7,LOW,Continue payment normally.
5344,CARD,Bank_C,0,1,NONE,SUCCESS,22.41,LOW,Continue payment normally.
799,NET_BANKING,Bank_B,0,1,NONE,FAILED,12.86,LOW,Continue payment normally.
763,UPI,Bank_A,0,1,NONE,SUCCESS,13.59,LOW,Continue payment normally.
9090,UPI,Bank_B,0,1,NONE,SUCCESS,11.75,LOW,Continue payment normally.
13217,CARD,Bank_B,1,2,NONE,SUCCESS,37.98,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
8408,NET_BANKING,Bank_C,3,4,AUTH_ERROR,FAILED,97.62,HIGH,Complete authentication and retry the payment.
18280,UPI,Bank_D,0,1,NONE,SUCCESS,16.24,LOW,Continue payment normally.
1835,CARD,Bank_D,1,2,NONE,FAILED,42.7,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12270,UPI,Bank_A,0,1,NONE,SUCCESS,15.24,LOW,Continue payment normally.
7819,NET_BANKING,Bank_A,1,2,NONE,FAILED,32.37,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3905,NET_BANKING,Bank_A,2,3,NONE,FAILED,58.91,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3686,UPI,Bank_C,0,1,NONE,SUCCESS,18.97,LOW,Continue payment normally.
19971,NET_BANKING,Bank_C,2,3,BANK_ERROR,FAILED,93.11,HIGH,Try another bank or payment method.
17784,NET_BANKING,Bank_B,2,3,NONE,FAILED,65.06,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
4310,UPI,Bank_C,0,1,NONE,SUCCESS,24.44,LOW,Continue payment normally.
6179,NET_BANKING,Bank_C,0,1,NONE,FAILED,23.87,LOW,Continue payment normally.
13641,CARD,Bank_B,1,2,NONE,SUCCESS,35.54,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
8639,CARD,Bank_A,0,1,CARD_DECLINED,FAILED,44.18,MEDIUM,Try UPI or Net Banking instead of the card.
9296,UPI,Bank_A,1,2,NONE,SUCCESS,37.13,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15992,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,35.96,MEDIUM,Try another bank or payment method.
4711,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,17.92,LOW,Continue payment normally.
7248,UPI,Bank_B,0,1,NONE,FAILED,14.18,LOW,Continue payment normally.
17394,NET_BANKING,Bank_B,0,1,AUTH_ERROR,FAILED,51.82,MEDIUM,Complete authentication and retry the payment.
892,CARD,Bank_C,1,2,CARD_DECLINED,FAILED,76.85,HIGH,Try UPI or Net Banking instead of the card.
6031,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,22.72,LOW,Continue payment normally.
13217,UPI,Bank_C,1,2,NONE,FAILED,40.17,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
7148,UPI,Bank_B,0,1,NONE,SUCCESS,13.05,LOW,Continue payment normally.
14627,UPI,Bank_B,0,1,NONE,SUCCESS,14.28,LOW,Continue payment normally.
18912,UPI,Bank_B,1,2,BANK_ERROR,SUCCESS,64.99,MEDIUM,Try another bank or payment method.
15852,UPI,Bank_C,0,1,NONE,SUCCESS,18.76,LOW,Continue payment normally.
13112,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,16.58,LOW,Continue payment normally.
1500,CARD,Bank_A,0,1,NETWORK_ERROR,SUCCESS,39.8,MEDIUM,Retry after a short delay or use another payment method.
17815,CARD,Bank_D,0,1,NONE,SUCCESS,23.35,LOW,Continue payment normally.
217,UPI,Bank_A,2,3,AUTH_ERROR,FAILED,87.08,HIGH,Complete authentication and retry the payment.
1981,UPI,Bank_B,1,2,NONE,SUCCESS,29.09,LOW,Continue payment normally.
11771,UPI,Bank_D,1,2,BANK_ERROR,SUCCESS,71.02,HIGH,Try another bank or payment method.
3702,UPI,Bank_A,0,1,NONE,SUCCESS,12.22,LOW,Continue payment normally.
4708,CARD,Bank_B,0,1,NONE,SUCCESS,17.77,LOW,Continue payment normally.
13038,UPI,Bank_B,0,1,NONE,SUCCESS,15.85,LOW,Continue payment normally.
8200,NET_BANKING,Bank_A,0,1,NONE,FAILED,13.1,LOW,Continue payment normally.
7348,UPI,Bank_C,1,2,NONE,FAILED,36.32,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
16659,CARD,Bank_A,3,4,NETWORK_ERROR,FAILED,96.36,HIGH,Retry after a short delay or use another payment method.
13528,UPI,Bank_C,0,1,NONE,SUCCESS,20.31,LOW,Continue payment normally.
2982,CARD,Bank_A,3,4,CARD_DECLINED,FAILED,93.84,HIGH,Try UPI or Net Banking instead of the card.
15927,CARD,Bank_D,1,2,CARD_DECLINED,FAILED,74.93,HIGH,Try UPI or Net Banking instead of the card.
13300,UPI,Bank_B,0,1,AUTH_ERROR,FAILED,44.86,MEDIUM,Complete authentication and retry the payment.
956,UPI,Bank_A,3,4,NONE,FAILED,76.42,HIGH,"Continue payment, but offer an alternate payment method if it fails."
828,UPI,Bank_C,1,2,BANK_ERROR,SUCCESS,77.5,HIGH,Try another bank or payment method.
6141,UPI,Bank_A,0,1,NONE,SUCCESS,14.16,LOW,Continue payment normally.
8953,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,17.07,LOW,Continue payment normally.
184,UPI,Bank_A,0,1,BANK_ERROR,FAILED,39.62,MEDIUM,Try another bank or payment method.
5039,CARD,Bank_C,3,4,AUTH_ERROR,FAILED,97.89,HIGH,Complete authentication and retry the payment.
4837,CARD,Bank_A,0,1,NONE,SUCCESS,13.07,LOW,Continue payment normally.
3454,UPI,Bank_B,0,1,NONE,FAILED,16.0,LOW,Continue payment normally.
1958,UPI,Bank_B,0,1,NONE,SUCCESS,12.2,LOW,Continue payment normally.
1467,UPI,Bank_D,2,3,NETWORK_ERROR,FAILED,87.78,HIGH,Retry after a short delay or use another payment method.
16272,UPI,Bank_B,0,1,NONE,SUCCESS,16.8,LOW,Continue payment normally.
206,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,85.84,HIGH,Try UPI or Net Banking instead of the card.
18354,CARD,Bank_D,0,1,NONE,SUCCESS,24.61,LOW,Continue payment normally.
16808,UPI,Bank_C,0,1,NONE,SUCCESS,23.09,LOW,Continue payment normally.
3577,NET_BANKING,Bank_C,0,1,NONE,FAILED,24.76,LOW,Continue payment normally.
15298,CARD,Bank_A,3,4,CARD_DECLINED,FAILED,96.48,HIGH,Try UPI or Net Banking instead of the card.
19139,NET_BANKING,Bank_C,0,1,NETWORK_ERROR,SUCCESS,63.31,MEDIUM,Retry after a short delay or use another payment method.
10749,CARD,Bank_A,0,1,NONE,SUCCESS,13.68,LOW,Continue payment normally.
3240,UPI,Bank_C,1,2,BANK_ERROR,FAILED,72.44,HIGH,Try another bank or payment method.
1234,NET_BANKING,Bank_A,2,3,AUTH_ERROR,FAILED,90.0,HIGH,Complete authentication and retry the payment.
13929,UPI,Bank_A,1,2,NETWORK_ERROR,FAILED,62.57,MEDIUM,Retry after a short delay or use another payment method.
17732,NET_BANKING,Bank_D,2,3,NONE,FAILED,72.14,HIGH,"Continue payment, but offer an alternate payment method if it fails."
8672,UPI,Bank_D,1,2,NONE,SUCCESS,38.89,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
13235,UPI,Bank_A,0,1,NONE,SUCCESS,15.6,LOW,Continue payment normally.
4218,CARD,Bank_C,0,1,NONE,SUCCESS,23.31,LOW,Continue payment normally.
6369,CARD,Bank_C,0,1,CARD_DECLINED,FAILED,55.33,MEDIUM,Try UPI or Net Banking instead of the card.
19398,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,14.65,LOW,Continue payment normally.
19227,CARD,Bank_D,1,2,NONE,SUCCESS,45.0,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
2953,UPI,Bank_A,3,4,BANK_ERROR,FAILED,93.31,HIGH,Try another bank or payment method.
13976,CARD,Bank_A,0,1,CARD_DECLINED,SUCCESS,43.82,MEDIUM,Try UPI or Net Banking instead of the card.
545,CARD,Bank_C,2,3,CARD_DECLINED,FAILED,90.02,HIGH,Try UPI or Net Banking instead of the card.
424,UPI,Bank_A,0,1,NONE,SUCCESS,14.11,LOW,Continue payment normally.
16034,UPI,Bank_B,0,1,NONE,SUCCESS,13.72,LOW,Continue payment normally.
1837,UPI,Bank_A,1,2,NONE,FAILED,28.94,LOW,Continue payment normally.
6828,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,20.78,LOW,Continue payment normally.
17311,CARD,Bank_A,0,1,NONE,FAILED,18.51,LOW,Continue payment normally.
8955,UPI,Bank_C,1,2,BANK_ERROR,FAILED,75.28,HIGH,Try another bank or payment method.
5044,UPI,Bank_A,0,1,NONE,FAILED,12.54,LOW,Continue payment normally.
12036,UPI,Bank_A,0,1,NONE,SUCCESS,14.41,LOW,Continue payment normally.
11201,UPI,Bank_B,0,1,NONE,SUCCESS,14.94,LOW,Continue payment normally.
11374,UPI,Bank_C,3,4,AUTH_ERROR,FAILED,96.69,HIGH,Complete authentication and retry the payment.
1631,UPI,Bank_C,3,4,NETWORK_ERROR,FAILED,96.62,HIGH,Retry after a short delay or use another payment method.
19228,NET_BANKING,Bank_B,1,2,BANK_ERROR,FAILED,75.41,HIGH,Try another bank or payment method.
18421,UPI,Bank_B,0,1,BANK_ERROR,FAILED,40.75,MEDIUM,Try another bank or payment method.
9816,NET_BANKING,Bank_A,1,2,NONE,SUCCESS,38.65,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3649,CARD,Bank_D,1,2,NONE,SUCCESS,37.16,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11061,UPI,Bank_B,0,1,NONE,SUCCESS,14.32,LOW,Continue payment normally.
16511,UPI,Bank_A,0,1,NETWORK_ERROR,SUCCESS,47.96,MEDIUM,Retry after a short delay or use another payment method.
14654,UPI,Bank_D,0,1,NONE,SUCCESS,22.66,LOW,Continue payment normally.
6099,CARD,Bank_D,0,1,NONE,SUCCESS,21.52,LOW,Continue payment normally.
6754,UPI,Bank_C,0,1,NONE,SUCCESS,19.05,LOW,Continue payment normally.
16476,UPI,Bank_D,0,1,NONE,FAILED,17.73,LOW,Continue payment normally.
8480,CARD,Bank_B,3,4,CARD_DECLINED,FAILED,94.87,HIGH,Try UPI or Net Banking instead of the card.
18887,NET_BANKING,Bank_B,0,1,AUTH_ERROR,SUCCESS,51.48,MEDIUM,Complete authentication and retry the payment.
14341,UPI,Bank_A,0,1,NONE,SUCCESS,16.86,LOW,Continue payment normally.
10480,UPI,Bank_A,1,2,NETWORK_ERROR,FAILED,60.9,MEDIUM,Retry after a short delay or use another payment method.
3856,UPI,Bank_A,0,1,NONE,SUCCESS,13.09,LOW,Continue payment normally.
743,CARD,Bank_A,0,1,NONE,SUCCESS,13.59,LOW,Continue payment normally.
9077,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,17.29,LOW,Continue payment normally.
12225,UPI,Bank_C,0,1,NONE,SUCCESS,19.09,LOW,Continue payment normally.
13450,CARD,Bank_A,0,1,CARD_DECLINED,SUCCESS,42.86,MEDIUM,Try UPI or Net Banking instead of the card.
19104,UPI,Bank_C,2,3,BANK_ERROR,FAILED,91.51,HIGH,Try another bank or payment method.
19009,UPI,Bank_D,1,2,NONE,SUCCESS,42.19,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
15255,UPI,Bank_D,1,2,NONE,FAILED,37.41,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
5467,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,14.39,LOW,Continue payment normally.
14648,UPI,Bank_D,0,1,BANK_ERROR,SUCCESS,44.66,MEDIUM,Try another bank or payment method.
9832,UPI,Bank_C,3,4,BANK_ERROR,FAILED,95.74,HIGH,Try another bank or payment method.
13193,NET_BANKING,Bank_B,3,4,AUTH_ERROR,FAILED,96.89,HIGH,Complete authentication and retry the payment.
3186,UPI,Bank_B,0,1,NONE,SUCCESS,12.03,LOW,Continue payment normally.
9102,NET_BANKING,Bank_B,0,1,BANK_ERROR,FAILED,45.24,MEDIUM,Try another bank or payment method.
13443,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,19.48,LOW,Continue payment normally.
19315,CARD,Bank_C,1,2,NONE,FAILED,52.84,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11398,CARD,Bank_A,0,1,NONE,SUCCESS,18.41,LOW,Continue payment normally.
5203,CARD,Bank_B,0,1,NONE,FAILED,17.63,LOW,Continue payment normally.
5475,CARD,Bank_A,2,3,NETWORK_ERROR,FAILED,88.08,HIGH,Retry after a short delay or use another payment method.
9624,CARD,Bank_A,0,1,NONE,SUCCESS,15.69,LOW,Continue payment normally.
11254,CARD,Bank_B,2,3,NETWORK_ERROR,FAILED,85.89,HIGH,Retry after a short delay or use another payment method.
4764,CARD,Bank_C,0,1,CARD_DECLINED,SUCCESS,57.22,MEDIUM,Try UPI or Net Banking instead of the card.
11867,UPI,Bank_A,0,1,NONE,SUCCESS,11.72,LOW,Continue payment normally.
536,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,15.51,LOW,Continue payment normally.
6317,UPI,Bank_B,2,3,NETWORK_ERROR,SUCCESS,82.83,HIGH,Retry after a short delay or use another payment method.
2356,UPI,Bank_A,0,1,BANK_ERROR,SUCCESS,31.25,MEDIUM,Try another bank or payment method.
4877,UPI,Bank_D,0,1,NONE,SUCCESS,17.33,LOW,Continue payment normally.
16030,UPI,Bank_C,0,1,NONE,FAILED,18.79,LOW,Continue payment normally.
9660,CARD,Bank_A,0,1,NONE,SUCCESS,14.67,LOW,Continue payment normally.
6410,UPI,Bank_D,0,1,NONE,SUCCESS,17.82,LOW,Continue payment normally.
18708,CARD,Bank_B,2,3,CARD_DECLINED,FAILED,89.67,HIGH,Try UPI or Net Banking instead of the card.
1746,NET_BANKING,Bank_B,1,2,BANK_ERROR,FAILED,60.17,MEDIUM,Try another bank or payment method.
9188,CARD,Bank_C,1,2,NONE,SUCCESS,42.49,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
19329,UPI,Bank_A,0,1,NONE,FAILED,13.01,LOW,Continue payment normally.
3973,CARD,Bank_C,0,1,NONE,SUCCESS,20.06,LOW,Continue payment normally.
7108,NET_BANKING,Bank_A,0,1,BANK_ERROR,FAILED,39.58,MEDIUM,Try another bank or payment method.
15738,CARD,Bank_A,0,1,NONE,SUCCESS,17.09,LOW,Continue payment normally.
13258,UPI,Bank_C,3,4,NETWORK_ERROR,FAILED,97.04,HIGH,Retry after a short delay or use another payment method.
12504,UPI,Bank_A,0,1,NONE,SUCCESS,12.47,LOW,Continue payment normally.
16021,UPI,Bank_C,0,1,NONE,FAILED,21.32,LOW,Continue payment normally.
16661,CARD,Bank_C,0,1,NONE,SUCCESS,21.99,LOW,Continue payment normally.
16148,CARD,Bank_D,0,1,NONE,SUCCESS,24.42,LOW,Continue payment normally.
1624,NET_BANKING,Bank_C,0,1,NETWORK_ERROR,FAILED,53.79,MEDIUM,Retry after a short delay or use another payment method.
16981,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,14.94,LOW,Continue payment normally.
9218,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,17.55,LOW,Continue payment normally.
9460,CARD,Bank_B,0,1,NONE,SUCCESS,18.84,LOW,Continue payment normally.
15192,CARD,Bank_C,0,1,NONE,FAILED,21.7,LOW,Continue payment normally.
11187,UPI,Bank_A,0,1,NONE,SUCCESS,15.08,LOW,Continue payment normally.
12898,NET_BANKING,Bank_D,0,1,NONE,SUCCESS,17.74,LOW,Continue payment normally.
18425,NET_BANKING,Bank_C,0,1,NONE,SUCCESS,22.82,LOW,Continue payment normally.
8107,CARD,Bank_C,0,1,NONE,SUCCESS,23.54,LOW,Continue payment normally.
9616,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,17.1,LOW,Continue payment normally.
16493,UPI,Bank_A,1,2,NONE,FAILED,37.25,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
3028,UPI,Bank_C,0,1,AUTH_ERROR,SUCCESS,48.09,MEDIUM,Complete authentication and retry the payment.
11072,CARD,Bank_C,0,1,NONE,SUCCESS,27.16,LOW,Continue payment normally.
18171,UPI,Bank_D,0,1,NONE,SUCCESS,21.5,LOW,Continue payment normally.
5882,CARD,Bank_B,0,1,NONE,SUCCESS,15.36,LOW,Continue payment normally.
10651,UPI,Bank_A,0,1,NONE,SUCCESS,15.22,LOW,Continue payment normally.
4069,CARD,Bank_D,1,2,NONE,SUCCESS,45.64,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
10051,UPI,Bank_B,0,1,BANK_ERROR,FAILED,41.38,MEDIUM,Try another bank or payment method.
7955,NET_BANKING,Bank_A,1,2,BANK_ERROR,FAILED,70.85,HIGH,Try another bank or payment method.
17716,UPI,Bank_B,1,2,BANK_ERROR,FAILED,66.8,MEDIUM,Try another bank or payment method.
6955,UPI,Bank_C,0,1,NONE,SUCCESS,18.15,LOW,Continue payment normally.
1923,UPI,Bank_C,0,1,NONE,SUCCESS,19.16,LOW,Continue payment normally.
17451,UPI,Bank_B,0,1,NONE,SUCCESS,14.67,LOW,Continue payment normally.
1119,CARD,Bank_A,1,2,CARD_DECLINED,FAILED,64.97,MEDIUM,Try UPI or Net Banking instead of the card.
7775,CARD,Bank_C,1,2,NONE,SUCCESS,49.05,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
12370,UPI,Bank_B,0,1,BANK_ERROR,FAILED,38.64,MEDIUM,Try another bank or payment method.
1412,CARD,Bank_C,0,1,NONE,SUCCESS,22.99,LOW,Continue payment normally.
18954,UPI,Bank_C,0,1,NONE,SUCCESS,19.57,LOW,Continue payment normally.
12822,CARD,Bank_D,1,2,NONE,FAILED,43.53,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
18007,NET_BANKING,Bank_B,0,1,NETWORK_ERROR,SUCCESS,48.39,MEDIUM,Retry after a short delay or use another payment method.
18790,CARD,Bank_D,0,1,AUTH_ERROR,SUCCESS,52.0,MEDIUM,Complete authentication and retry the payment.
8267,NET_BANKING,Bank_A,0,1,NONE,SUCCESS,15.41,LOW,Continue payment normally.
2990,UPI,Bank_A,0,1,NONE,SUCCESS,13.7,LOW,Continue payment normally.
6940,UPI,Bank_A,1,2,NONE,SUCCESS,35.73,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
9731,CARD,Bank_A,1,2,CARD_DECLINED,FAILED,66.19,MEDIUM,Try UPI or Net Banking instead of the card.
625,NET_BANKING,Bank_B,0,1,NONE,FAILED,15.92,LOW,Continue payment normally.
12419,UPI,Bank_B,0,1,BANK_ERROR,SUCCESS,43.98,MEDIUM,Try another bank or payment method.
15645,NET_BANKING,Bank_B,0,1,NONE,SUCCESS,16.83,LOW,Continue payment normally.
9650,UPI,Bank_A,0,1,NONE,SUCCESS,14.47,LOW,Continue payment normally.
12831,UPI,Bank_A,0,1,NONE,SUCCESS,12.19,LOW,Continue payment normally.
17586,CARD,Bank_A,0,1,NONE,SUCCESS,15.67,LOW,Continue payment normally.
17046,UPI,Bank_C,1,2,NONE,SUCCESS,45.89,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
6752,UPI,Bank_C,0,1,NONE,SUCCESS,20.8,LOW,Continue payment normally.
11336,CARD,Bank_B,0,1,CARD_DECLINED,SUCCESS,49.01,MEDIUM,Try UPI or Net Banking instead of the card.
18140,UPI,Bank_D,0,1,NONE,SUCCESS,18.23,LOW,Continue payment normally.
4000,UPI,Bank_A,2,3,NONE,FAILED,52.88,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
1253,CARD,Bank_A,0,1,NONE,SUCCESS,13.29,LOW,Continue payment normally.
15477,UPI,Bank_C,0,1,NONE,SUCCESS,23.12,LOW,Continue payment normally.
5717,UPI,Bank_D,0,1,NONE,SUCCESS,14.92,LOW,Continue payment normally.
10182,CARD,Bank_B,0,1,NETWORK_ERROR,FAILED,42.76,MEDIUM,Retry after a short delay or use another payment method.
16725,NET_BANKING,Bank_C,2,3,BANK_ERROR,FAILED,93.26,HIGH,Try another bank or payment method.
12669,UPI,Bank_C,2,3,NONE,SUCCESS,68.0,MEDIUM,"Continue payment, but offer an alternate payment method if it fails."
11867,UPI,Bank_D,0,1,NONE,SUCCESS,21.05,LOW,Continue payment normally.
10064,UPI,Bank_B,0,1,NONE,SUCCESS,14.2,LOW,Continue payment normally.
10807,CARD,Bank_C,0,1,NONE,FAILED,26.8,LOW,Continue payment normally.
